id;payment_number;amount;payment_date;transaction_id;payment_gateway_response;status;processed_by;notes;refunded_at;refunded_by;refund_reason
7b640e5a-7778-43b2-83a5-7445d879f5f6;PAY-1001;72.78;2025-12-27T12:56:00;TXN-001;Approved;SUCCESS;pos_jane;Paid with Visa;;;
b6828fe6-090f-41ac-a106-d35de65534c7;PAY-1002;52.38;2025-12-27T13:21:00;TXN-002;Approved;SUCCESS;pos_ryan;Card tap;;;
a61e40e4-9718-452c-bbe7-7048d2d0f7f3;PAY-1003;43.84;2025-12-27T18:52:00;TXN-003;Approved;SUCCESS;app_gateway;Online payment;;;
570b4a78-4947-4313-a3fe-ce1dcd551994;PAY-1004;27.30;2025-12-27T19:16:00;TXN-004;Approved;SUCCESS;pos_jane;Cash received;;;
1f10f365-7580-4b1d-80aa-d3998396ad1d;PAY-1005;53.47;2025-12-27T20:06:00;TXN-005;Approved;SUCCESS;pos_sam;Split bill not required;;;
23d4098f-ed4b-47d1-810e-0ea135a4c09d;PAY-1006;21.38;2025-12-27T21:26:00;TXN-006;Approved;SUCCESS;pos_nina;Tap to pay;;;
c480ce4d-a20d-4d44-b9c6-d8cd7154422e;PAY-1007;10.50;2025-12-27T22:12:00;TXN-007;Approved;SUCCESS;web_gateway;Online dessert add-on;;;
ad6eb812-b4ee-4f48-b298-b02990a401b9;PAY-1008;28.20;2025-12-28T09:21:00;TXN-008;Approved;SUCCESS;app_gateway;Prepaid breakfast;;;
c0f2f617-aa90-408c-997b-96e4e295d4db;PAY-1009;72.32;2025-12-28T12:45:00;TXN-009;Pending;PENDING;pos_jane;Awaiting swipe;;;
a32b8732-1ca4-42ff-a6a5-20ddd7dfb6df;PAY-1010;72.32;2025-12-28T13:10:00;TXN-009-R;Refunded;REFUNDED;pos_jane;Refund after cancellation;2025-12-28T13:15:00;manager_kay;Order cancelled
