id;name;code;description;logo_url;contact_email;contact_phone;address_line_1;address_line_2;city;state;country;postal_code;timezone;is_active
6e0fc964-9a3a-45b8-9a75-d7f41ffd3a33;Downtown Diner;DT-DINE;Classic comfort food served all day;/images/logos/downtown-diner.png;hello@downtowndiner.com;+1-415-555-1122;120 Market St;Suite 10;San Francisco;CA;USA;94103;America/Los_Angeles;true
eef254be-f5ea-4aef-811c-9adc32576321;Coastal Breeze Cafe;CB-CAFE;Beachside cafe with fresh bakes and coffee;/images/logos/coastal-breeze.png;info@coastalbreeze.com;+1-310-555-2211;18 Ocean Drive;;Santa Monica;CA;USA;90401;America/Los_Angeles;true
90291340-7db3-4335-b4de-3d7a3e9521c3;Spice Route Kitchen;SR-KITCH;Modern Indian kitchen with regional specials;/images/logos/spice-route.png;hi@spiceroute.com;+1-212-555-8899;455 Curry Ave;Floor 2;New York;NY;USA;10012;America/New_York;true
07b3516b-eec3-4e35-b162-94a65c9b8b4a;Green Bowl;GB-PLANT;Plant-forward bowls and cold-pressed juices;/images/logos/green-bowl.png;support@greenbowl.com;+1-503-555-6677;77 Harvest Lane;;Portland;OR;USA;97205;America/Los_Angeles;true
dfcf0e92-df8a-479d-a8d3-693109a7de36;Skyline Steakhouse;SKY-STEAK;Prime cuts, wood-fired grills and craft wine;/images/logos/skyline.png;reservations@skylinesteak.com;+1-312-555-3344;800 Skyline Blvd;;Chicago;IL;USA;60611;America/Chicago;true
956fbf70-b22d-4f15-9747-bcfb4289897d;Sunrise Bakery;SR-BAKE;Artisan breads, pastries and espresso drinks;/images/logos/sunrise-bakery.png;hello@sunrisebakery.com;+1-206-555-7788;24 Maple St;;Seattle;WA;USA;98101;America/Los_Angeles;true
9175d66d-6a15-48de-bd4f-6092a4cffbc5;Taproom Social;TR-SOCIAL;Craft beers on tap with shareable bites;/images/logos/taproom-social.png;cheers@taproomsocial.com;+1-512-555-9090;250 Brewery Rd;;Austin;TX;USA;73301;America/Chicago;true
4787c731-9830-4cd9-8c3b-c153c84cda9c;Pasta & Co.;PA-CO;Neighborhood Italian spot for pasta and wine;/images/logos/pasta-co.png;ciao@pastaandco.com;+1-617-555-4455;9 Hanover St;;Boston;MA;USA;02108;America/New_York;true
48b58ff9-606d-4088-8769-a5bba317fb87;Street Eats;ST-EATS;Fast-casual wraps, bowls and salads;/images/logos/street-eats.png;contact@streeteats.com;+1-702-555-7000;101 Fremont St;;Las Vegas;NV;USA;89101;America/Los_Angeles;true
5d564365-9e9b-4cc9-bb78-3eac4b6879af;Harbor House;HB-HOUSE;Seafood grill with waterfront seating;/images/logos/harbor-house.png;hello@harborhouse.com;+1-305-555-6060;330 Bayside Blvd;;Miami;FL;USA;33101;America/New_York;true
