id;name;code;description;contact_email;contact_phone;address_line_1;address_line_2;city;state;country;postal_code;latitude;longitude;opening_time;closing_time;timezone;max_capacity;is_active
bfb37c90-7611-49a6-ba7d-7f01c2d4fa43;Downtown Diner - SF;SF-MAIN;Flagship location near the financial district;sf@downtowndiner.com;+1-415-555-1122;120 Market St;Suite 10;San Francisco;CA;USA;94103;37.7937;-122.3965;08:00:00;22:00:00;America/Los_Angeles;120;true
fc9b9b1f-56d2-40db-b327-b690b00061bb;Coastal Breeze - Santa Monica;SM-PIER;Pier-front cafe with patio seating;hello@coastalbreeze.com;+1-310-555-2211;18 Ocean Drive;;Santa Monica;CA;USA;90401;34.0100;-118.4952;07:00:00;21:00:00;America/Los_Angeles;80;true
40247b48-a5c0-4891-affc-4e313c7e58c0;Spice Route - SoHo;NY-SOHO;Small plates and curries for downtown crowd;booking@spiceroute.com;+1-212-555-8899;455 Curry Ave;Floor 2;New York;NY;USA;10012;40.7230;-73.9980;11:30:00;23:30:00;America/New_York;90;true
356d2e7d-0817-4714-9cb2-0585c16b7f0f;Green Bowl - Pearl;PDX-PEARL;Plant-forward bowls in the Pearl district;pdx@greenbowl.com;+1-503-555-6677;77 Harvest Lane;;Portland;OR;USA;97205;45.5289;-122.6841;09:00:00;21:00:00;America/Los_Angeles;70;true
846b84b3-5aa3-49c3-a4dc-f5f1cf3254a8;Skyline Steakhouse - River North;CHI-RN;Steaks and wine bar with skyline views;chicago@skylinesteak.com;+1-312-555-3344;800 Skyline Blvd;;Chicago;IL;USA;60611;41.8947;-87.6243;16:00:00;23:59:00;America/Chicago;150;true
4c7e1857-5525-4724-8e7a-4904fbac6b6e;Sunrise Bakery - Fremont;SEA-FRMNT;Morning bakery and coffee counter;fremont@sunrisebakery.com;+1-206-555-7788;24 Maple St;;Seattle;WA;USA;98101;47.6097;-122.3331;06:30:00;18:00:00;America/Los_Angeles;40;true
2153614b-b95f-4a75-9d52-e7e17c138c3c;Taproom Social - Rainey;ATX-RNY;Taproom with rotating craft beer lines;austin@taproomsocial.com;+1-512-555-9090;250 Brewery Rd;;Austin;TX;USA;73301;30.2600;-97.7390;11:00:00;00:00:00;America/Chicago;110;true
adbe3112-4f59-4260-adaf-4b1516262d2d;Pasta & Co. - North End;BOS-NE;Neighborhood pasta bar and wine list;ne@pastaandco.com;+1-617-555-4455;9 Hanover St;;Boston;MA;USA;02108;42.3637;-71.0509;12:00:00;22:00:00;America/New_York;85;true
495a34f3-7525-471e-acb8-014d2590a274;Street Eats - Strip;LV-STRIP;Fast-casual wraps for the late-night crowd;vegas@streeteats.com;+1-702-555-7000;101 Fremont St;;Las Vegas;NV;USA;89101;36.1699;-115.1398;10:00:00;02:00:00;America/Los_Angeles;140;true
90b621c9-97ed-43b9-ae87-bcef80fcb0c0;Harbor House - Bayside;MIA-BAY;Seafood grill with marina views;miami@harborhouse.com;+1-305-555-6060;330 Bayside Blvd;;Miami;FL;USA;33101;25.7781;-80.1867;11:00:00;23:00:00;America/New_York;130;true
